ID,Title,Body HTML,Vendor,Type,Tags,URL,Total Inventory Qty,Row #,Top Row,Image Type,Image Src,Image Command,Image Position,Image Width,Image Height,Image Alt Text,Variant Inventory Item ID,Variant ID,Variant SKU,Variant Barcode,Variant Image,Variant Weight,Variant Weight Unit,Variant Price,Variant Compare At Price
4419415834677,Bombay Paisley Grey Broderie Anglaise Tunic,"<p>Up your style with this grey fit-and-flare tunic from Bombay Paisley. Showcasing geometrical broderie anglaise at the hem coupled with a frill detailing for contemporary appeal, this pure-cotton creation comes finished with a button-down front.</p>",Bombay Paisley,Shirts/Tunics,"1001 - 1500, 3/4th sleeve, Apparel, Bombay Paisley, bp-women-topwear, Cotton, Ethnic Wear, Exclude, Grey, L, M, offrange_delete, Part4, Regular fit, Round Neck, S, Sale Pack, Shirts/Tunics, Solid, Tunics, Woman, XL, XS",https://www.westside.com/products/bombay-paisley-grey-broderie-anglaise-tunic-300820294,0,3845,True,IMAGE,https://cdn.shopify.com/s/files/1/0266/6276/4597/products/100001_300820294001_4.jpg?v=1594644577,MERGE,1.0,768.0,1024.0,,33114812842037.0,31537908154421.0,300820294001.0,2050025427946,,0.2,kg,599.0,1299.0
4419428483125,HOP Kids Indigo Jeans,"<p>A stylish denim addition to his casual range are these indigo jeans from HOP. Fashioned from a breathable cotton-blend fabric with a hint of stretch for a non-restrictive fit, this pair is fitted with multiple pockets for practicality while the trendy keychain lends a dapper finish.</p>",HOP,Jeans,"3-4 Y, 4-5 Y, 501-1000, 6-7 Y, 7-8 Y, Apparel, Blue, Boy, Cotton, Denim | Trousers, Exclude, HOP, HOP Boy, hop-jun-unisex-bottom, Jeans, Kids, Kids Denim Edit, offrange_delete, Pant, Pants, Part1, Regular, SALE AUG2021, Solid",https://www.westside.com/products/hop-kids-indigo-jeans-300818940,0,3854,True,IMAGE,https://cdn.shopify.com/s/files/1/0266/6276/4597/products/100001_300818940004_1.jpg?v=1595408623,MERGE,1.0,768.0,1024.0,,33114890174517.0,31537943609397.0,300818940001.0,2050025402080,,0.2,kg,499.0,599.0
4419411738677,Utsa Light Blue Pure Cotton A-line Kurta,,Utsa,Kurtas,"501 - 1000, Apparel, Band Neck, Blue, Cotton, Ethnic Wear, Exclude, Half Sleeve, Kurta & set, Kurtas, L, M, New Essentials Utsa, offrange_delete, Part1, Regular fit, S, Sale Pack, Solid, Utsa, utsa-women-topwear, Woman, XL, XS, XXL",https://www.westside.com/products/utsa-light-blue-pure-cotton-a-line-kurta-300817193,0,3858,True,IMAGE,https://cdn.shopify.com/s/files/1/0266/6276/4597/products/100001_300817193_039_4.jpg?v=1577885197,MERGE,1.0,1080.0,1440.0,,33114792427573.0,31537892098101.0,300817193025.0,2050025371898,,0.2,kg,499.0,899.0
4419428646965,Y&F Kids Olive Joggers,"<p>A comfortable alternative to jeans are these olive joggers from Y&amp;F. Fashioned from a lightweight breathable fabric for supreme breathability, this pair comes fitted with two pockets along with a three-button placket at the waist for practicality.</p>",Y&F,Joggers,"10-11 Y, 12-13 Y, 13-14 Y, 501 - 1000, 9-10 Y, Apparel, Exclude, Girl, Girls-bottom, Green, Joggers, Kids, Lyocell, New Essentials Y&F, offrange_delete, Part2, Regular, Sale Pack, Solid, Y&F, Y&F Girl, Y&f-senior-Kids",https://www.westside.com/products/y-f-kids-olive-joggers-300818996,0,3864,True,IMAGE,https://cdn.shopify.com/s/files/1/0266/6276/4597/products/100001_300818996001_1.jpg?v=1595408595,MERGE,1.0,768.0,1024.0,,33114890633269.0,31537944068149.0,300818996001.0,2050025404329,,0.2,kg,299.0,499.0
4419426811957,Utsa Kids Off White Geometrical Print Dress,,Utsa Kids,Ethnic Wear,"0 - 500, 2 Y, 3-4 Y, 5-6 Y, 7-8 Y, Apparel, Band Collar, Cotton, Dresses/Jumpsuits, Ethnic Wear, Exclude, Full Sleeves, Girl, Kids, offrange_delete, Printed, Regular, Sale Pack, Utsa Kids, Utsa Kids Girl, Utsa Kids Kids, utsakids-unisex-tops, White",https://www.westside.com/products/utsa-kids-off-white-geometrical-print-dress-300821495,0,3868,True,IMAGE,https://cdn.shopify.com/s/files/1/0266/6276/4597/products/100001_300821495001_1.jpg?v=1595525879,MERGE,1.0,768.0,1024.0,,33114878345269.0,31537939218485.0,300821495001.0,2050025452191,,0.2,kg,499.0,699.0
4419428548661,Y&F Kids Turquoise Shark Print Polo T-Shirt,"<p>Incorporate colourful options for his casual closet like this turquoise t-shirt from Y&amp;F. Showcasing shark embroidery in the front for contemporary appeal, this polo-neck separate is fashioned from a self-textured cotton-rich fabric for a soft handle.</p>",Y&F,T-shirts,"10-11 Y, 12-13 Y, 13-14 Y, 501-1000, 9-10 Y, Apparel, Boy, Boys, Cotton, Exclude, Kids, Kids Denim Edit, New Essentials Y&F, Part2, Polo Neck, Printed, Regular, SALE AUG2021, Shirts | T-Shirt, Short Sleeves, T-shirts, Turquoise, Y&F, Y&F Boy, y&f-senior-boys-tops",https://www.westside.com/products/y-f-kids-turquoise-shark-print-polo-t-shirt-300818981,0,3872,True,IMAGE,https://cdn.shopify.com/s/files/1/0266/6276/4597/products/100001_300818981001_1.jpg?v=1595408609,MERGE,1.0,768.0,1024.0,,33114890305589.0,31537943740469.0,300818981001.0,2050025403728,,0.2,kg,299.0,499.0
4419460431925,Utsa Kids Sea Green Floral A-line Kurta,"<p>Refresh her ethnic wardrobe with chic pieces like this sea green kurta from Utsa Kids. Created in a pure-cotton profile for all-day comfort, this A-line creation flaunts flower patterns throughout for added appeal. Style it with orange leggings and sandals for a chic outfit.</p>",Utsa Kids,Ethnic Wear,"0 - 500, 11-12 Y, 13-14 Y, 8-9 Y, 9-10 Y, Apparel, Cotton, Ethnic Wear, Exclude, Floral, Girl, Girls-tops, Green, Kids, offrange_delete, Regular, Round Neck, Sale Pack, Sleeveless, Utsa Kids, Utsa Kids Girl, Utsa Kids Kids, utsakids-senior-Kids",https://www.westside.com/products/utsa-kids-sea-green-floral-a-line-kurta-300820301,0,3876,True,IMAGE,https://cdn.shopify.com/s/files/1/0266/6276/4597/products/100001_300820301001_1.jpg?v=1595408580,MERGE,1.0,768.0,1024.0,,33115078688821.0,31538038341685.0,300820301001.0,2050025428264,,0.2,kg,299.0,399.0
4419413606453,Gia Curve Indigo Wendy Jeans,"<p>A must-have in your denim line-up are these indigo Wendy jeans from Gia. Fashioned in a minimalistic style, this pair is designed from a stretch-blend fabric to fit and flatter your curves while the zipper detailing at the pockets lends a touch of contemporary charm.</p>",Gia,Jeans,"1501 - 2000, 32, 34, 36, 38, 40, 42, Apparel, Blended, Blue, Curvy Women, Denim, Exclude, Gia, gia-plussize-women-bottomwear, Jeans, offrange_delete, Pant, Pants, Plus Size, Regular Fit, Rs. 501 - Rs. 1000, SALE AUG2021, Solid, Western Wear, Woman",https://www.westside.com/products/gia-curve-indigo-wendy-jeans-300820220,0,3880,True,IMAGE,https://cdn.shopify.com/s/files/1/0266/6276/4597/products/100001_300820220001_4.jpg?v=1594644700,MERGE,1.0,768.0,1024.0,,33114803142709.0,31537903173685.0,300820220001.0,2050025424075,,0.2,kg,999.0,1799.0
4423564394549,Zuba Peach Floral Print Cotton-Silk Stole,"<p>Add a refreshing touch to your ethnic outfits with this peach stole from Zuba. Crafted from a silk-cotton blend fabric for endless breathability, it showcases flower designs all over for chic appeal while the beaded trims lend a stylish finish.</p>",Zuba,Dupattas & Shawls,"501 - 1000, Apparel, Cotton, Dupattas & Shawls, Ethnic Wear, Exclude, Free Size, offrange_delete, Peach, Sale Pack, Stole, Stoles, Woman, Zuba",https://www.westside.com/products/zuba-peach-floral-print-cotton-silk-stole-300823100,0,3886,True,IMAGE,https://cdn.shopify.com/s/files/1/0266/6276/4597/products/100001_300823100001_1_53d722b4-5d74-4588-aca7-9c4643156c6b.jpg?v=1595525830,MERGE,1.0,768.0,1024.0,Zuba Peach Floral Print Cotton-Silk Stole | Peach Floral Print Cotton-Silk Stole for women full view - Westside,33133442138165.0,31551302828085.0,300823100001.0,2050025489821,,0.0,kg,399.0,599.0
4419413868597,Gia Curve Black Self-Patterned Pierce Culottes,"<p>Exuding a hint of sophisticated style, these black Pierce culottes from Gia are a noteworthy investment. Punctuated with a thoughtfully-designed waistband for a proportioned fit, this pair flaunts a self-patterned profile for added appeal. The stretch-blend fabric ensures all-day comfort.</p>",Gia,Trousers,"1001 - 1500, 32, 34, 36, 38, 40, 42, 7Jan, Apparel, Black, Culottes, Curvy Women, Exclude, Gia, gia-plussize-women-bottomwear, Gold & Black, offrange_delete, Pant, Pants, Plus Size, Polyester, Regular fit, Sale Pack, Self, Trousers, Western Wear, Woman",https://www.westside.com/products/gia-curve-black-self-patterned-pierce-culottes-300820224,0,3894,True,IMAGE,https://cdn.shopify.com/s/files/1/0266/6276/4597/products/100001_300820224001_4.jpg?v=1595436090,MERGE,1.0,768.0,1024.0,,33114804289589.0,31537903894581.0,300820224001.0,2050025424310,,0.2,kg,799.0,1299.0
4423564427317,Zuba Peach Floral Print Flared Palazzos,"<p>Harmonise your ethnic ensembles with these peach palazzos from Zuba. Structured to fit across dual-sizes, this lightweight creation flaunts floral patterns all throughout for feminine charm while the concealed drawstring waist lends a proportioned fit.</p>",Zuba,Skirts & Palazzos,"501 - 1000, Apparel, Ethnic Wear, Exclude, Floral, Kurta & set, L/XL, offrange_delete, Palazzos, Peach, Regular fit, S/M, Sale Pack, Shake Up, Skirts & Palazzos, Viscose, Woman, Zuba, zuba-women-ethnic-bottom",https://www.westside.com/products/zuba-peach-floral-print-flared-palazzos-300823098,0,3908,True,IMAGE,https://cdn.shopify.com/s/files/1/0266/6276/4597/products/100001_300823098001_1_686f7b06-c990-4122-bb2e-8ac128a0705a.jpg?v=1595525815,MERGE,1.0,768.0,1024.0,Zuba Peach Floral Print Flared Palazzos | Peach Floral Print Flared Palazzos for women full view - Westside,33133442695221.0,31551302860853.0,300823098001.0,2050025489791,,0.0,kg,599.0,999.0
4419460530229,Utsa Kids Pink Geometrical Print High-Low Kurta,"<p>This pink kurta from Utsa Kids will uplift your little girl          ¿s ethnic closet. Constructed in a high-low style from a flowy soft-to-touch material for a breathable handle, this silhouette flaunts geometrical designs all over for a touch of modernity.</p>",Utsa Kids,Ethnic Wear,"0 - 500, 2 Y, 3-4 Y, 5-6 Y, 7-8 Y, Apparel, Ethnic Wear, Exclude, Full Sleeves, Girl, Kids, Mandarin Collar, offrange_delete, Pink, Printed, Regular, Sale Pack, Utsa Kids, Utsa Kids Girl, Utsa Kids Kids, utsakids-unisex-tops, Viscose",https://www.westside.com/products/utsa-kids-pink-geometrical-print-high-low-kurta-300821497,0,3912,True,IMAGE,https://cdn.shopify.com/s/files/1/0266/6276/4597/products/100001_300821497001_1.jpg?v=1595408566,MERGE,1.0,768.0,1024.0,,33115079114805.0,31538038767669.0,300821497001.0,2050025452276,,0.2,kg,399.0,599.0
4423564525621,Yellow Kids White Unicorn Mary-Jane Shoes,"<p>Reinvent your little girl's shoe collection by picking these white Mary-Jane shoes from Yellow. Featuring a unicorn pattern at the front for a playful twist, this comfortable pair is finished with velcro fastened straps for fuss-free dressing.</p>",Yellow,Baby Girl Shoes,"0 - 500, Baby Girl Shoes, Casual Wear, EURO-12, EURO-13, EURO-14, Exclude, Flat, Footwear, Girl, Love Jan31, Manmade Micro Fibre Leather, offrange_delete, Sale Pack, westside-footwear-kids, White, Yellow, Yellow Baby Girl",https://www.westside.com/products/yellow-kids-white-unicorn-mary-jane-shoes-300814127,0,3916,True,IMAGE,https://cdn.shopify.com/s/files/1/0266/6276/4597/products/100001_300814127001_1_6be236d7-59e5-44f5-93ae-a315acc70f85.jpg?v=1595436018,MERGE,1.0,768.0,1024.0,,33133443973173.0,31551303909429.0,300814127001.0,2050025273864,,0.0,kg,299.0,499.0
4419691872309,Utsa Kids Lime Striped Palazzos,"<p>Ideal for both casual as well as ethnic styling are these lime palazzos from Utsa Kids. Featuring stripes in white and pink tones for modish appeal, this pair is made from a lightweight breathable fabric with a tie-up belt to lend a practical fit.</p>",Utsa Kids,Ethnic Wear,"0 - 500, 2 Y, 3-4 Y, 5-6 Y, 7-8 Y, Apparel, Ethnic Wear, Exclude, Girl, Green, Kids, offrange_delete, Palazzos, Regular, Sale Pack, Striped, Utsa Kids, Utsa Kids Girl, Utsa Kids Kids, utsakids-unisex-bottom, Viscose",https://www.westside.com/products/utsa-kids-lime-striped-palazzos-300821247,0,3924,True,IMAGE,https://cdn.shopify.com/s/files/1/0266/6276/4597/products/100001_300821247001_1.jpg?v=1594644510,MERGE,1.0,768.0,1024.0,,33115734802485.0,31538529402933.0,300821247001.0,2050025442703,,0.2,kg,399.0,599.0
4419460399157,Zuba Pink Self-Textured A-line Kurta,"<p>Infuse minimalist elegance to your ethnic assortment with this pink kurta from Zuba. Fashioned from a self-textured, silk-blend fabric, this A-line separate is finished with a round neckline and has mother-of-pearl buttoning the down front.</p>",Zuba,Kurtas,"1501 - 2000, Apparel, Band Neck, Ethnic Wear, Exclude, Kurta & set, Kurtas, L, M, offrange_delete, Pink, Printed, Regular fit, S, Sale Pack, Shake Up, Three-quarters, Viscose, Woman, XL, XS, XXL, Zuba, zuba-women-topwear",https://www.westside.com/products/zuba-pink-self-textured-a-line-kurta-300816863,0,3928,True,IMAGE,https://cdn.shopify.com/s/files/1/0266/6276/4597/products/100001_300816863002_4.jpg?v=1594644544,MERGE,1.0,768.0,1024.0,Zuba Pink Self-Textured A-line Kurta - Westside,33115078656053.0,31538038308917.0,300816863001.0,2050025357762,,0.2,kg,999.0,1999.0
4419692789813,HOP Kids Navy Printed Polo T-Shirt,"<p>Your little boy will look charming in this navy t-shirt from HOP. Crafted from sumptuous pure-cotton fabric for optimum comfort and breathability, this polo-neck creation features an array of playful designs for modern appeal. The three-button placket ensures easy changing.</p>",HOP,T-shirts,"0-500, 3-4 Y, 4-5 Y, 6-7 Y, 7-8 Y, Apparel, Boy, Boys, Cotton, Exclude, HOP, HOP Boy, hop-jun-unisex-tops, Kids, Kids Denim Edit, Navy, offrange_delete, Part1, Polo Neck, Polos, Printed, Regular, SALE AUG2021, Shirts | T-Shirt, Short Sleeves, T-shirts",https://www.westside.com/products/hop-kids-navy-printed-polo-t-shirt-300818944,0,3938,True,IMAGE,https://cdn.shopify.com/s/files/1/0266/6276/4597/products/100001_300818944001_1.jpg?v=1595408552,MERGE,1.0,768.0,1024.0,,33115742339125.0,31538533236789.0,300818944001.0,2050025402240,,0.2,kg,299.0,499.0
